"rle", "population", "period", "dx", "dy", "speed", "type", "count", "probability"
"3bo$b2o2$bo$o2bo", 6, 414, 2, 0, 0.004830917874396135, "orthogonal", 976, 0.000008977153108547136
"2bo2b2o3$2bo2bo$bo3bo", 7, 278, 2, 0, 0.007194244604316547, "orthogonal", 29, 2.667391804793719e-7
"o$2o$2bo$2bo$o$o", 7, 364, 4, 0, 0.01098901098901099, "orthogonal", 183, 0.000001683216207852588
"2o$bo2$bo$bo2$o", 6, 970, 2, 0, 0.002061855670103093, "orthogonal", 304, 0.0000027961624436458294
"bo$obo$bo2$o$bo", 6, 166, 2, 0, 0.012048192771084338, "orthogonal", 3807, 0.00003501641586499892
"b2o$o2$o$2o", 6, 939, 3, 3, 0.003194888178913738, "diagonal", 4081, 0.00003753664122539023
"2bo$b2o$o$o$2bo2$o", 7, 336, 4, 0, 0.011904761904761904, "orthogonal", 241, 0.000002216694568811332
"3o$o3bo", 5, 178, 2, 0, 0.011235955056179775, "orthogonal", 130072, 0.001196389609769409
"2bo2$bo2bo$b2o$b2o", 7, 88, 2, 2, 0.022727272727272728, "diagonal", 1169, 0.000010752348344151231
"3bo$2obo$4bo$2b2o", 7, 2232, 4, 4, 0.0017921146953405018, "diagonal", 35, 3.2192659713027644e-7
"2b2o$bo$4b3o$5bo", 7, 458, 2, 0, 0.004366812227074236, "orthogonal", 42, 3.863119165563317e-7
"2bo2bo$2bobo$b2o$3bo", 7, 366, 2, 2, 0.00546448087431694, "diagonal", 64, 5.886657776096483e-7
"b2o2bobo$4b2o$o4bo", 8, 56, 4, 0, 0.07142857142857142, "orthogonal", 64, 5.886657776096483e-7
"2b2o$2obo$b2o$4bo", 8, 31, 1, 1, 0.03225806451612903, "diagonal", 227, 0.0000020879239299592214
"obo$3bo$b2o2bo", 6, 642, 6, 0, 0.009345794392523364, "orthogonal", 7142, 0.00006569142162012669
"bo3bo$bo3bo$2b2o", 6, 2491, 3, 3, 0.0012043356081894822, "diagonal", 538, 0.000004948471693031106
"$ob2o2$2obo", 6, 433, 1, 1, 0.0023094688221709007, "diagonal", 279, 0.0000025662148742670606
"4bo$2b3o$bobo", 6, 82, 2, 0, 0.024390243902439025, "orthogonal", 7494, 0.00006892908339697976
"bo2bo2$bo$b3o", 6, 540, 4, 0, 0.007407407407407408, "orthogonal", 3257, 0.000029957569338666006
"o2$b2o$o$2o", 6, 2694, 10, 0, 0.003711952487008166, "orthogonal", 3719, 0.00003420700042078566
"3bo$b2o$2o3bo", 6, 558, 2, 0, 0.0035842293906810036, "orthogonal", 561, 0.000005160023456859573
"bo$b2o$2bobo$bo", 6, 518, 2, 0, 0.003861003861003861, "orthogonal", 1158, 0.000010651171413624573
"o$o2$o$o", 4, 368, 2, 2, 0.005434782608695652, "diagonal", 4725867, 0.04346806519429337
"b2obo$3bo$obo$4bo$3bo", 8, 242, 4, 0, 0.01652892561983471, "orthogonal", 8, 7.358322220120604e-8
"2bo$bobob2o$5bo", 6, 3406, 6, 0, 0.0017615971814445098, "orthogonal", 365, 0.0000033572345129300253
"o$bo2$b2o$obo", 6, 436, 2, 0, 0.0045871559633027525, "orthogonal", 1019, 0.000009372662927878619
"$b2obo$bob3o$5bo$2bo", 9, 31, 1, 1, 0.03225806451612903, "diagonal", 9, 8.278112497635679e-8
"o$2o3$2o", 5, 632, 4, 0, 0.006329113924050633, "orthogonal", 155350, 0.0014288941961196698
