"rle", "population", "period", "dx", "dy", "speed", "type", "count", "probability"
"4bo$4b2o2$5bo$2bo$bo$b4o", 10, 1408, 2, 2, 0.0014204545454545455, "diagonal", 0, 0
"8bo$2b2o3bo$bobo$3b2o$b2o", 10, 2901, 1, 1, 0.0003447087211306446, "diagonal", 0, 0
"4b2o$o4bo$3b2o2$2b2o$bo2bo", 10, 456, 4, 0, 0.008771929824561403, "orthogonal", 0, 0
"3bo$3bo2$b3o$3bo$2bo$b2o2$2bo", 10, 2398, 2, 0, 0.0008340283569641367, "orthogonal", 0, 0
"o2b2o2$2b3o$o3bo2$3b2o", 10, 184, 2, 0, 0.010869565217391304, "orthogonal", 0, 0
"5bo$o3b2o$2o$2b2o$bo$4bo", 10, 598, 2, 0, 0.0033444816053511705, "orthogonal", 0, 0
"2b2o$b3obo$bobo$4bo$2bo", 10, 31, 1, 1, 0.03225806451612903, "diagonal", 0, 0
"8bo$3b2o$4bo$2b5o$bo", 10, 392, 4, 0, 0.01020408163265306, "orthogonal", 0, 0
"o3b2o$3bobo$b2o$2b2o$bo", 10, 130, 2, 0, 0.015384615384615385, "orthogonal", 0, 0
"bo4bo$2bob2o2$3bo2bo$4b3o", 10, 482, 2, 2, 0.004149377593360996, "diagonal", 0, 0
"$4bo$bob3o$4b2o$bo$bo$2bo", 10, 136, 2, 2, 0.014705882352941176, "diagonal", 0, 0
"b2obo$o4bo$o3bo$3bo$2b2o", 10, 114, 2, 0, 0.017543859649122806, "orthogonal", 0, 0
"o$o2bo$2b2o$bo$o$obo$bo", 10, 77, 1, 1, 0.012987012987012988, "diagonal", 0, 0
"b3o$2bo$3bo$bo$2obo$2o", 11, 134, 2, 0, 0.014925373134328358, "orthogonal", 0, 0
"bo$bo$2o", 4, 61, 1, 1, 0.01639344262295082, "diagonal", 4127829, 0.03796736981444777
"2bobo$b2o", 4, 44, 2, 2, 0.045454545454545456, "diagonal", 19442090, 0.17882645356573074
"o$o2$o$o", 4, 368, 2, 2, 0.005434782608695652, "diagonal", 4725867, 0.04346806519429337
"b2o2$2o", 4, 48, 2, 2, 0.041666666666666664, "diagonal", 15341546, 0.14111004852850295
"bo$2b2o$3bo", 4, 28, 2, 2, 0.07142857142857142, "diagonal", 33838471, 0.31124296631775833
"b2o2$b2o", 4, 12, 2, 0, 0.16666666666666666, "orthogonal", 28667103, 0.2636772262392325
"o$2o3$2o", 5, 632, 4, 0, 0.006329113924050633, "orthogonal", 155350, 0.0014288941961196698
"b2o2$b2o$2bo", 5, 978, 2, 0, 0.002044989775051125, "orthogonal", 23488, 0.00021604034038274093
"3o$o3bo", 5, 178, 2, 0, 0.011235955056179775, "orthogonal", 130072, 0.001196389609769409
"3o$o$bo", 5, 15, 1, 1, 0.06666666666666667, "diagonal", 1071399, 0.009854623835393744
"o$bo$o$2o", 5, 158, 2, 0, 0.012658227848101266, "orthogonal", 107464, 0.0009884434238288007
"b2o$2b2o$2bo", 5, 149, 3, 3, 0.020134228187919462, "diagonal", 733341, 0.0067451992190318295
"o$bo$bo$bo3$bo3$bo", 6, 3514, 2, 0, 0.0005691519635742744, "orthogonal", 36, 3.3112449990542716e-7
"3bo$b2o2$bo$o2bo", 6, 414, 2, 0, 0.004830917874396135, "orthogonal", 976, 0.000008977153108547136
"o$bo2$b2o$obo", 6, 436, 2, 0, 0.0045871559633027525, "orthogonal", 1019, 0.000009372662927878619
"$4bo$b3obo$o", 6, 94, 2, 2, 0.02127659574468085, "diagonal", 8869, 0.00008157619971281204
"o$o$bo$bo2$bo$o", 6, 4556, 2, 0, 0.0004389815627743635, "orthogonal", 103, 9.473839858405277e-7
"bo$bo$2o2$bo2$bo", 6, 2704, 4, 0, 0.0014792899408284023, "orthogonal", 313, 0.000002878943568622186
"o$bo$bobo$obo", 6, 214, 2, 0, 0.009345794392523364, "orthogonal", 3647, 0.0000335447514209748
"3bo$b2o$2o3bo", 6, 558, 2, 0, 0.0035842293906810036, "orthogonal", 561, 0.000005160023456859573
"bo2$b2o2$bo$2bo2$2bo", 6, 2170, 6, 0, 0.0027649769585253456, "orthogonal", 1262, 0.000011607753302240252
"b2o2$bo$2bo3$b2o", 6, 406, 2, 0, 0.0049261083743842365, "orthogonal", 1863, 0.000017135692870105854
"2bobo$b3obo", 6, 430, 4, 0, 0.009302325581395349, "orthogonal", 1179, 0.000010844327371902739
"4bo2$2b2o$bob2o", 6, 574, 2, 0, 0.003484320557491289, "orthogonal", 721, 0.000006631687900883694
"4bo$2o2bo$2bobo", 6, 124, 4, 0, 0.03225806451612903, "orthogonal", 17602, 0.0001619014846482036
"$ob2o2$2obo", 6, 433, 1, 1, 0.0023094688221709007, "diagonal", 279, 0.0000025662148742670606
"$o$obo$b3o", 6, 95, 1, 1, 0.010526315789473684, "diagonal", 3627, 0.00003336079336547179
"3bo$o2b4o", 6, 502, 4, 0, 0.00796812749003984, "orthogonal", 3389, 0.00003117169250498591
